"Tabela 5938 - Produto interno bruto a preços correntes, impostos, líquidos de subsídios, sobre produtos a preços correntes e valor adicionado bruto a preços correntes total e por atividade econômica, e respectivas participações - Referência 2010"
"Variável - Produto Interno Bruto a preços correntes (Mil Reais)"
"Cód.";"Município";"Ano"
"1503705";"Itupiranga (PA)";"979792"
"1503754";"Jacareacanga (PA)";"732418"
"1503804";"Jacundá (PA)";"800237"
"1503903";"Juruti (PA)";"1184842"
"1504000";"Limoeiro do Ajuru (PA)";"601991"
"1504059";"Mãe do Rio (PA)";"488400"
"1504109";"Magalhães Barata (PA)";"121851"
"1504208";"Marabá (PA)";"9748965"
"1504307";"Maracanã (PA)";"361786"
"1504406";"Marapanim (PA)";"333941"
"1504422";"Marituba (PA)";"2780522"
"1504455";"Medicilândia (PA)";"1140469"
"1504505";"Melgaço (PA)";"347499"
"1504604";"Mocajuba (PA)";"480360"
"1504703";"Moju (PA)";"2156273"
"1504752";"Mojuí dos Campos (PA)";"457251"
"1504802";"Monte Alegre (PA)";"1227319"
"1504901";"Muaná (PA)";"464374"
"1504950";"Nova Esperança do Piriá (PA)";"334512"
"1504976";"Nova Ipixuna (PA)";"231145"
"1505007";"Nova Timboteua (PA)";"185077"
"1505031";"Novo Progresso (PA)";"1541048"
"1505064";"Novo Repartimento (PA)";"1406400"
"1505106";"Óbidos (PA)";"921982"
"1505205";"Oeiras do Pará (PA)";"535992"
"1505304";"Oriximiná (PA)";"1739412"
"1505403";"Ourém (PA)";"279081"
"1505437";"Ourilândia do Norte (PA)";"1053014"
"1505486";"Pacajá (PA)";"1114328"
"1505494";"Palestina do Pará (PA)";"127592"
"1505502";"Paragominas (PA)";"5308605"
"1505536";"Parauapebas (PA)";"26421067"
"1505551";"Pau D'Arco (PA)";"153521"
"1505601";"Peixe-Boi (PA)";"100657"
"1505635";"Piçarra (PA)";"361690"
"1505650";"Placas (PA)";"491402"
"1505700";"Ponta de Pedras (PA)";"313392"
"1505809";"Portel (PA)";"1153540"
"1505908";"Porto de Moz (PA)";"507177"
"1506005";"Prainha (PA)";"548886"
"1506104";"Primavera (PA)";"564056"
"1506112";"Quatipuru (PA)";"147129"
"1506138";"Redenção (PA)";"3681706"
"1506161";"Rio Maria (PA)";"1007363"
"1506187";"Rondon do Pará (PA)";"1083239"
"1506195";"Rurópolis (PA)";"605554"
"1506203";"Salinópolis (PA)";"802287"
"1506302";"Salvaterra (PA)";"270698"
"1506351";"Santa Bárbara do Pará (PA)";"300184"
"1506401";"Santa Cruz do Arari (PA)";"115245"
"1506500";"Santa Izabel do Pará (PA)";"1828145"
"1506559";"Santa Luzia do Pará (PA)";"258360"
"1506583";"Santa Maria das Barreiras (PA)";"943386"
"1506609";"Santa Maria do Pará (PA)";"570081"
"1506708";"Santana do Araguaia (PA)";"1978254"
"1506807";"Santarém (PA)";"8681869"
"1506906";"Santarém Novo (PA)";"81217"
"1507003";"Santo Antônio do Tauá (PA)";"687291"
"1507102";"São Caetano de Odivelas (PA)";"241829"
"1507151";"São Domingos do Araguaia (PA)";"490029"
"1507201";"São Domingos do Capim (PA)";"654079"
"1507300";"São Félix do Xingu (PA)";"2352014"
"1507409";"São Francisco do Pará (PA)";"359790"
"1507458";"São Geraldo do Araguaia (PA)";"1028625"
"1507466";"São João da Ponta (PA)";"79287"
"1507474";"São João de Pirabas (PA)";"232878"
"1507508";"São João do Araguaia (PA)";"235495"
"1507607";"São Miguel do Guamá (PA)";"1132578"
"1507706";"São Sebastião da Boa Vista (PA)";"309743"
"1507755";"Sapucaia (PA)";"172700"
"1507805";"Senador José Porfírio (PA)";"341244"
"1507904";"Soure (PA)";"338748"
"1507953";"Tailândia (PA)";"2023568"
"1507961";"Terra Alta (PA)";"114731"
"1507979";"Terra Santa (PA)";"590339"
"1508001";"Tomé-Açu (PA)";"1746483"
"1508035";"Tracuateua (PA)";"391638"
"1508050";"Trairão (PA)";"454558"
"1508084";"Tucumã (PA)";"1347919"
"1508100";"Tucuruí (PA)";"5457108"
"1508126";"Ulianópolis (PA)";"2344285"
"1508159";"Uruará (PA)";"1057794"
"1508209";"Vigia (PA)";"602141"
"1508308";"Viseu (PA)";"869709"
"1508357";"Vitória do Xingu (PA)";"3987037"
"1508407";"Xinguara (PA)";"2321585"
"1600055";"Serra do Navio (AP)";"126544"
"1600105";"Amapá (AP)";"219045"
"1600154";"Pedra Branca do Amapari (AP)";"375827"
"1600204";"Calçoene (AP)";"295401"
"1600212";"Cutias (AP)";"115359"
"1600238";"Ferreira Gomes (AP)";"557990"
"1600253";"Itaubal (AP)";"132723"
"1600279";"Laranjal do Jari (AP)";"1335225"
"1600303";"Macapá (AP)";"18470858"
"1600402";"Mazagão (AP)";"583553"
"1600501";"Oiapoque (AP)";"820364"
"1600535";"Porto Grande (AP)";"527655"
"1600550";"Pracuúba (AP)";"101033"
"1600600";"Santana (AP)";"3725688"
"1600709";"Tartarugalzinho (AP)";"329305"
"1600808";"Vitória do Jari (AP)";"303549"
"1700251";"Abreulândia (TO)";"141930"
"1700301";"Aguiarnópolis (TO)";"226238"
"1700350";"Aliança do Tocantins (TO)";"423070"
"1700400";"Almas (TO)";"336120"
"1700707";"Alvorada (TO)";"886077"
"1701002";"Ananás (TO)";"199526"
"1701051";"Angico (TO)";"54433"
"1701101";"Aparecida do Rio Negro (TO)";"283247"
"1701309";"Aragominas (TO)";"113908"
"1701903";"Araguacema (TO)";"411911"
"1702000";"Araguaçu (TO)";"474483"
"1702109";"Araguaína (TO)";"7357638"
"1702158";"Araguanã (TO)";"107609"
"1702208";"Araguatins (TO)";"641440"
"1702307";"Arapoema (TO)";"158572"
"1702406";"Arraias (TO)";"239090"
"1702554";"Augustinópolis (TO)";"396227"
"1702703";"Aurora do Tocantins (TO)";"69896"
"1702901";"Axixá do Tocantins (TO)";"173373"
"1703008";"Babaçulândia (TO)";"169441"
"1703057";"Bandeirantes do Tocantins (TO)";"249696"
"1703073";"Barra do Ouro (TO)";"100382"
"1703107";"Barrolândia (TO)";"140103"
"1703206";"Bernardo Sayão (TO)";"128560"
"1703305";"Bom Jesus do Tocantins (TO)";"143623"
"1703602";"Brasilândia do Tocantins (TO)";"75010"
"1703701";"Brejinho de Nazaré (TO)";"267584"
"1703800";"Buriti do Tocantins (TO)";"149973"
"1703826";"Cachoeirinha (TO)";"62095"
"1703842";"Campos Lindos (TO)";"665857"
"1703867";"Cariri do Tocantins (TO)";"997800"
"1703883";"Carmolândia (TO)";"73172"
"1703891";"Carrasco Bonito (TO)";"56192"
"1703909";"Caseara (TO)";"474488"
"1704105";"Centenário (TO)";"109325"
"1704600";"Chapada de Areia (TO)";"51576"
"1705102";"Chapada da Natividade (TO)";"155377"
"1705508";"Colinas do Tocantins (TO)";"1161301"
"1705557";"Combinado (TO)";"95001"
"1705607";"Conceição do Tocantins (TO)";"88973"
"1706001";"Couto Magalhães (TO)";"249462"
"1706100";"Cristalândia (TO)";"214100"
"1706258";"Crixás do Tocantins (TO)";"77387"
"1706506";"Darcinópolis (TO)";"252543"
"1707009";"Dianópolis (TO)";"781673"
"1707108";"Divinópolis do Tocantins (TO)";"323159"
"1707207";"Dois Irmãos do Tocantins (TO)";"289149"
"1707306";"Dueré (TO)";"290818"
"1707405";"Esperantina (TO)";"119197"
"1707553";"Fátima (TO)";"127672"
"1707652";"Figueirópolis (TO)";"350090"
"1707702";"Filadélfia (TO)";"161707"
"1708205";"Formoso do Araguaia (TO)";"988169"
"1708254";"Tabocão (TO)";"173517"
"1708304";"Goianorte (TO)";"178252"
"1709005";"Goiatins (TO)";"309167"
"1709302";"Guaraí (TO)";"1130106"
"1709500";"Gurupi (TO)";"3695017"
"1709807";"Ipueiras (TO)";"71887"
"1710508";"Itacajá (TO)";"199694"
"1710706";"Itaguatins (TO)";"100220"
"1710904";"Itapiratins (TO)";"153090"
"1711100";"Itaporã do Tocantins (TO)";"76489"
"1711506";"Jaú do Tocantins (TO)";"110816"
"1711803";"Juarina (TO)";"55560"
"1711902";"Lagoa da Confusão (TO)";"1089844"
"1711951";"Lagoa do Tocantins (TO)";"85970"
"1712009";"Lajeado (TO)";"79405"
"1712157";"Lavandeira (TO)";"41517"
"1712405";"Lizarda (TO)";"78341"
"1712454";"Luzinópolis (TO)";"58820"
"1712504";"Marianópolis do Tocantins (TO)";"373197"
"1712702";"Mateiros (TO)";"467179"
"1712801";"Maurilândia do Tocantins (TO)";"63313"
"1713205";"Miracema do Tocantins (TO)";"860438"
"1713304";"Miranorte (TO)";"483394"
"1713601";"Monte do Carmo (TO)";"398705"
"1713700";"Monte Santo do Tocantins (TO)";"86604"
"1713809";"Palmeiras do Tocantins (TO)";"108235"
"1713957";"Muricilândia (TO)";"79966"
"1714203";"Natividade (TO)";"352748"
"1714302";"Nazaré (TO)";"78447"
"1714880";"Nova Olinda (TO)";"442504"
"1715002";"Nova Rosalândia (TO)";"110147"
"1715101";"Novo Acordo (TO)";"176373"
"1715150";"Novo Alegre (TO)";"38612"
"1715259";"Novo Jardim (TO)";"49097"
"1715507";"Oliveira de Fátima (TO)";"50178"
"1715705";"Palmeirante (TO)";"247597"
"1715754";"Palmeirópolis (TO)";"218426"
"1716109";"Paraíso do Tocantins (TO)";"2288330"
"1716208";"Paranã (TO)";"353206"
"1716307";"Pau D'Arco (TO)";"110802"
"1716505";"Pedro Afonso (TO)";"1090443"
"1716604";"Peixe (TO)";"897174"
