municipio,ano_mes,passageiros
ARACAJU,2021-01,48144.0
ARACAJU,2021-02,34610.0
ARACAJU,2021-03,24360.0
ARACAJU,2021-04,15819.0
ARACAJU,2021-05,21791.0
ARACAJU,2021-06,27423.0
ARACAJU,2021-07,34899.0
ARACAJU,2021-08,33546.0
ARACAJU,2021-09,34379.0
ARACAJU,2021-10,37315.0
ARACAJU,2021-11,37686.0
ARACAJU,2021-12,43255.0
ARACAJU,2022-01,48974.0
ARACAJU,2022-02,35563.0
ARACAJU,2022-03,40663.0
ARACAJU,2022-04,34492.0
ARACAJU,2022-05,32525.0
ARACAJU,2022-06,31159.0
ARACAJU,2022-07,41792.0
ARACAJU,2022-08,41063.0
ARACAJU,2022-09,38983.0
ARACAJU,2022-10,39936.0
ARACAJU,2022-11,43781.0
ARACAJU,2022-12,40959.0
ARACAJU,2023-01,57107.0
ARACAJU,2023-02,42677.0
ARACAJU,2023-03,50873.0
ARACAJU,2023-04,44258.0
ARACAJU,2023-05,43203.0
ARACAJU,2023-06,40822.0
ARACAJU,2023-07,54786.0
ARACAJU,2023-08,50266.0
ARACAJU,2023-09,47976.0
ARACAJU,2023-10,48921.0
ARACAJU,2023-11,45900.0
ARACAJU,2023-12,50442.0
ARACAJU,2024-01,63207.0
ARACAJU,2024-02,50607.0
ARACAJU,2024-03,47349.0
ARACAJU,2024-04,44344.0
ARACAJU,2024-05,44272.0
ARACAJU,2024-06,43947.0
ARACAJU,2024-07,58506.0
ARACAJU,2024-08,52037.0
ARACAJU,2024-09,51015.0
ARACAJU,2024-10,58115.0
ARACAJU,2024-11,57341.0
ARACAJU,2024-12,56597.0
ARACAJU,2025-01,68613.0
ARACAJU,2025-02,50352.0
ARACAJU,2025-03,50073.0
ARACAJU,2025-04,50648.0
ARACAJU,2025-05,51935.0
ARACAJU,2025-06,50729.0
ARACAJU,2025-07,58248.0
ARACAJU,2025-08,57875.0
ARACAJU,2025-09,54657.0
ARACAJU,2025-10,61941.0
ARACAJU,2025-11,58576.0
ARACAJU,2025-12,58847.0
ARACATI,2021-01,757.0
ARACATI,2021-02,125.0
ARACATI,2021-07,123.0
ARACATI,2021-08,95.0
ARACATI,2021-09,111.0
ARACATI,2021-10,146.0
ARACATI,2021-11,135.0
ARACATI,2021-12,158.0
ARACATI,2022-01,218.0
ARACATI,2022-02,122.0
ARACATI,2022-03,129.0
ARACATI,2022-04,78.0
ARACATI,2022-05,212.0
ARACATI,2022-06,265.0
ARACATI,2022-07,285.0
ARACATI,2022-08,395.0
ARACATI,2022-09,108.0
ARACATI,2022-10,34.0
ARACATI,2022-11,7.0
ARACATI,2022-12,11.0
ARACATI,2023-01,23.0
ARACATI,2023-02,21.0
ARACATI,2023-03,11.0
ARACATI,2023-04,5.0
ARACATI,2023-05,10.0
ARACATI,2023-06,24.0
ARACATI,2023-07,20.0
ARACATI,2023-08,29.0
ARACATI,2023-09,22.0
ARACATI,2023-10,12.0
ARACATI,2023-11,35.0
ARACATI,2023-12,22.0
ARACATI,2024-01,40.0
ARACATI,2024-02,23.0
ARACATI,2024-03,19.0
ARACATI,2024-04,17.0
ARACATI,2024-05,20.0
ARACATI,2024-06,29.0
ARACATI,2024-07,34.0
ARACATI,2024-08,7.0
ARACATI,2025-03,0.0
ARAGUAÍNA,2021-01,742.0
ARAGUAÍNA,2021-02,560.0
ARAGUAÍNA,2021-03,616.0
ARAGUAÍNA,2021-04,386.0
ARAGUAÍNA,2021-05,784.0
ARAGUAÍNA,2021-06,817.0
ARAGUAÍNA,2021-07,1342.0
ARAGUAÍNA,2021-08,1264.0
ARAGUAÍNA,2021-09,983.0
ARAGUAÍNA,2021-10,1014.0
ARAGUAÍNA,2021-11,981.0
ARAGUAÍNA,2021-12,1200.0
ARAGUAÍNA,2022-01,907.0
ARAGUAÍNA,2022-02,688.0
ARAGUAÍNA,2022-03,466.0
ARAGUAÍNA,2022-04,403.0
ARAGUAÍNA,2022-05,608.0
ARAGUAÍNA,2022-06,557.0
ARAGUAÍNA,2022-07,612.0
ARAGUAÍNA,2022-08,521.0
ARAGUAÍNA,2022-09,569.0
ARAGUAÍNA,2022-10,707.0
ARAGUAÍNA,2022-11,1034.0
ARAGUAÍNA,2022-12,1137.0
ARAGUAÍNA,2023-01,849.0
ARAGUAÍNA,2023-02,620.0
ARAGUAÍNA,2023-03,807.0
ARAGUAÍNA,2023-04,743.0
ARAGUAÍNA,2023-05,557.0
ARAGUAÍNA,2023-06,556.0
ARAGUAÍNA,2023-07,635.0
ARAGUAÍNA,2023-08,537.0
ARAGUAÍNA,2023-09,662.0
ARAGUAÍNA,2023-10,560.0
ARAGUAÍNA,2023-11,585.0
ARAGUAÍNA,2023-12,532.0
ARAGUAÍNA,2024-01,449.0
ARAGUAÍNA,2024-02,351.0
ARAGUAÍNA,2024-03,193.0
ARAGUAÍNA,2025-10,222.0
ARAGUAÍNA,2025-11,908.0
ARAGUAÍNA,2025-12,1102.0
ARAPONGAS,2021-12,3.0
ARAPONGAS,2022-01,4.0
ARAPONGAS,2022-02,81.0
ARAPONGAS,2022-03,68.0
ARAPONGAS,2022-04,58.0
ARAPONGAS,2022-05,55.0
ARAPONGAS,2022-06,24.0
ARAPONGAS,2022-07,22.0
ARAPONGAS,2022-08,5.0
ARAPONGAS,2022-09,2.0
ARAPONGAS,2022-10,4.0
ARAPONGAS,2022-11,2.0
ARAPONGAS,2022-12,5.0
ARARAQUARA,2024-10,443.0
ARARAQUARA,2024-11,226.0
ARARAQUARA,2024-12,280.0
ARARAQUARA,2025-01,192.0
ARARAQUARA,2025-02,133.0
ARARAQUARA,2025-03,105.0
ARARAQUARA,2025-04,92.0
ARARAQUARA,2025-05,70.0
ARARAQUARA,2025-06,52.0
ARARAQUARA,2025-07,66.0
ARARAQUARA,2025-08,6.0
ARARAQUARA,2025-09,71.0
ARARAQUARA,2025-10,46.0
ARARAQUARA,2025-11,27.0
ARARAQUARA,2025-12,25.0
ARARIPINA,2022-10,18.0
